project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Sai Raj Complex,6500000.0,389.0,1.0,2.0,Navde,Navi Mumbai,19.0534298108845,73.09743386978,Unfurnished,Apartment,0,24,0,Resale,Ready to Move,,Sai Raj Developers
Shree Raj Uma Palace,4500000.0,456.0,1.0,1.0,Roadpali,Navi Mumbai,19.0385501152056,73.0962748008091,Unfurnished,Apartment,0,9,2,Resale,Ready to Move,,Shreeraj Realtors
Durvankur Apartment,11500000.0,981.0,3.0,3.0,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,Unfurnished,Apartment,0,14,6,Resale,Ready to Move,,A.R Construction
Dev Balaji Residency,4000000.0,551.0,1.0,1.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,18,10,Resale,Ready to Move,,Dev Builders & Developers
Dev Balaji Residency,2800000.0,324.0,1.0,1.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,18,10,Resale,Ready to Move,,Dev Builders & Developers
Dev Balaji Residency,5500000.0,626.0,2.0,2.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,18,10,Resale,Ready to Move,,Dev Builders & Developers
Dev Balaji Residency,5500000.0,864.0,2.0,2.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,18,10,Resale,Ready to Move,,Dev Builders & Developers
Balaji Arcade,2200000.0,301.0,1.0,1.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,14,10,Resale,Ready to Move,,Tirupati Balaji Builcon Pvt. Ltd.
Sai Plaza,5000000.0,468.0,1.0,1.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,10,6,Resale,Ready to Move,,Sai Yash Developers
Tricity Luxuria,6000000.0,,1.0,2.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,11,5,Resale,Under Construction,,Tricity Reality Pvt. Ltd.
Arihant Anaika,6500000.0,743.0,2.0,2.0,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,Unfurnished,Apartment,0,20,6,Resale,Ready to Move,,Arihant Superstructures Ltd
Arihant Anaika,6000000.0,817.0,2.0,2.0,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,Unfurnished,Apartment,0,20,6,Resale,Ready to Move,,Arihant Superstructures Ltd
Greystone Heights,6300000.0,702.0,2.0,2.0,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Unfurnished,Apartment,0,11,3,Resale,Ready to Move,,Greystone Space LLP
Greystone Heights,5800000.0,475.0,1.0,1.0,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Unfurnished,Apartment,0,11,3,Resale,Ready to Move,,Greystone Space LLP
Raj Ambar,3800000.0,461.0,1.0,1.0,Karanjade,Navi Mumbai,18.974265373985,73.1099196329075,Unfurnished,Apartment,0,5,2,Resale,Ready to Move,,Radiant Builders
Shiv Bliss,3800000.0,432.0,1.0,1.0,Karanjade,Navi Mumbai,18.974265373985,73.1099196329075,Unfurnished,Apartment,0,14,2,Resale,Ready to Move,,Bhaweshwar Group
Priyanka Unite,14200000.0,1332.0,2.0,2.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,29,6,Resale,Ready to Move,,Priyanka Regency
La Arihant Enclave,3000000.0,566.0,2.0,2.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,26,10,Resale,Ready to Move,,La Arihant Enclave
Laxmi Apartment,5300000.0,306.0,1.0,1.0,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Unfurnished,Apartment,0,0,3,Resale,Ready to Move,,Unknown
Chamunda Hill Crest,4700000.0,493.0,1.0,1.0,Karanjade,Navi Mumbai,18.974265373985,73.1099196329075,Unfurnished,Apartment,0,13,2,Resale,Ready to Move,,Chamunda Infrastructure
Om Shivam Apartment,4800000.0,360.0,1.0,1.0,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Semi-Furnished,Apartment,0,23,3,Resale,Under Construction,,Om Shivam Builders Pvt. Ltd.
Triveni The Dreams,6500000.0,498.0,1.0,1.0,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Unfurnished,Apartment,0,16,3,Resale,Ready to Move,,Triveni Builders and Developers
RSM Athena,6000000.0,468.0,1.0,2.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,14,6,Resale,Ready to Move,,Atlantic Builders & Developers
