project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Enkay Garden,3000000,629,2,2,Taloja Panchanand,Navi Mumbai,19.0786912120664,73.0924195199983,Unfurnished,Apartment,0,20,0,Resale,Ready to Move,,Enkay Homes Ltd.
Hallmark Savera,2700000,420,1,1,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,Unfurnished,Apartment,0,7,6,Resale,Under Construction,,Hallmark Enterprises
Pote Nilaya,2978400,421,1,1,New Panvel East,Navi Mumbai,18.998631,73.120102,Unfurnished,Apartment,0,15,3,Resale,Under Construction,,Pote Realty
Ayesha Planet ,2400000,288,1,1,Petali,Navi Mumbai,19.0802342829353,73.0940449295075,Semi-Furnished,Apartment,0,7,0,Resale,Ready to Move,,The Planet Group
Sawan Harmonycbd Belapur,8000000,490,1,2,CBD Belapur,Navi Mumbai,19.0190788324849,73.0384581174593,Semi-Furnished,Apartment,0,0,9,Resale,Ready to Move,,Shree Sawan Builders
Pushpanarayan Complex,3100000,432,1,1,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,13,5,Resale,Ready to Move,,Space India
Tulip Plaza CHS,5000000,421,1,1,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Unfurnished,Apartment,0,0,8,Resale,Ready to Move,,Cooperative Group Housing Society
Anmol Sadan,7500000,673,2,2,Sector 19 Kharghar,Navi Mumbai,19.04955,73.078011,Unfurnished,Apartment,0,8,0,Resale,Ready to Move,,Anmol Developers
Raheja Atlantis,29900000,,3,3,Ghansoli,Navi Mumbai,19.1271933235627,72.9966520846173,Unfurnished,Apartment,0,36,9,Resale,Ready to Move,,Atlantis
Unkown,8500000,,3,3,Kopar Khairane,Navi Mumbai,19.1033695651723,73.0121586680414,Semi-Furnished,Residential House,0,0,10,Resale,Ready to Move,,Unknown
Marathon Nexzone,7800000,451,2,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Furnished,Apartment,0,10,10,Resale,Ready to Move,,Marathon Realty Pvt. Ltd.
Marathon Nexzone,9000000,720,2,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,10,10,Resale,Ready to Move,,Marathon Realty Pvt. Ltd.
Marathon Nexzone,8000000,625,2,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,10,10,Resale,Ready to Move,,Marathon Realty Pvt. Ltd.
Marathon Nexzone,9900000,547,2,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,10,10,Resale,Ready to Move,,Marathon Realty Pvt. Ltd.
Marathon Nexzone,9000000,738,2,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,10,10,Resale,Ready to Move,,Marathon Realty Pvt. Ltd.
Mahaavir Exotique,13000000,690,3,2,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Unfurnished,Apartment,0,32,8,Resale,Ready to Move,1 Covered,Mahaavir Superstructures Private Limited
Shree Labheshwar Pratham,4700000,,1,1,Sector 14 Taloje Panchanand,Navi Mumbai,19.07618688,73.09471104,Semi-Furnished,Apartment,0,28,0,Resale,Ready to Move,1 Open,Shree Labheshwar Developers LLP
Hiranandani Fortune City,7500000,459,1,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,35,10,New Property,Ready to Move,,Hiranandani Group
Unkown,4500000,398,1,1,Sector 2 Ulwe,Navi Mumbai,18.982763,73.027401,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Unkown,9000000,,,,Sector 42 Seawoods,Navi Mumbai,19.01909281,73.01749748,Unfurnished,Commercial Shop,0,0,0,Resale,Ready to Move,,Unknown
Arihant Anshula,62000000,,2,2,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,Unfurnished,Apartment,0,19,6,Resale,Ready to Move,,Arihant Superstructures Ltd.
Anant Residency,8600000,,1,1,Roadpali,Navi Mumbai,19.0385501152056,73.0962748008091,Unfurnished,Apartment,0,8,2,Resale,Ready to Move,,Pratik Anant Enterprises
Yash Apartments,8500000,600,2,2,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Furnished,Apartment,0,19,8,Resale,Ready to Move,,Yash Developers
Unkown,2500000,395,1,1,,Navi Mumbai,,,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Unkown,10500000,600,2,1,Adaigaon,Navi Mumbai,19.0110825912093,73.1266944947445,Unfurnished,Residential House,0,0,0,Resale,Ready to Move,,Unknown
Tejas Parth,9900000,,2,2,Khar Kopar,Navi Mumbai,18.9654436273347,73.0155095714941,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,1 Covered,Unknown
Meghna Solitaire,4000000,550,1,1,Taloja,Navi Mumbai,19.074076996436,73.1181841544665,Unfurnished,Apartment,0,10,6,Resale,Ready to Move,,Meghna Builders Pvt. Ltd.
Unkown,3200000,,,,Panvel,Navi Mumbai,18.9894007,73.1175162,Semi-Furnished,Studio Apartment,0,0,10,Resale,Ready to Move,,Unknown
Varun Jai Ganesh Vishnu Bliss,4800000,407,1,2,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,4,6,Resale,Ready to Move,,Unknown
Sai Proviso County,4000000,,1,1,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,18,10,Resale,Ready to Move,,Proviso Group
5P Gurudev Heights,8500000,,2,2,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Unfurnished,Apartment,0,15,3,Resale,Ready to Move,,5P Group
Qualcon Greenwood Estate,5000000,,2,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,42,10,Resale,Ready to Move,,Qualcon Properties LLP
Unkown,4900000,418,1,1,Sector 5 Ulwe,Navi Mumbai,18.9800428925109,73.0248941000616,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Raj Ambar,3800000,640,1,1,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,5,10,Resale,Ready to Move,,Radiant Builders
Unkown,750000,,,1,Kopar Khairane,Navi Mumbai,19.1033695651723,73.0121586680414,Unfurnished,Studio Apartment,0,0,10,Resale,Ready to Move,,Unknown
Kalpana Nestor,10000000,1105,2,2,Dronagiri,Navi Mumbai,18.8598511200022,72.9380988664184,Unfurnished,Apartment,0,8,2,Resale,Ready to Move,,Greenscape Kalpana Struct Con
Susheel Garden,7400000,650,2,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Furnished,Apartment,0,0,10,Resale,Ready to Move,,Unknown
Indiabulls Green Phase 2,14500000,,3,3,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,47,10,Resale,Ready to Move,,Indiabulls Real Estate Ltd.
Krishna Villa,5000000,,1,1,Ulwe,Navi Mumbai,18.9750941,73.052334,Furnished,Apartment,0,33,6,Resale,Ready to Move,,Radhe Krishna Developers
Unkown,11800000,,1,2,,Navi Mumbai,,,Furnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Ishwar Iris,18500000,564,2,2,Seawoods,Navi Mumbai,19.0134923674099,73.0176711021806,Furnished,Apartment,0,9,7,New Property,Ready to Move,703 Covered,Ishwar Group Builders And Developers
Shivam Tulip Elegance,11500000,680,2,2,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,2,6,Resale,Ready to Move,,Shivam Buildcon
Unkown,2400000,,,1,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Studio Apartment,0,0,1,Resale,Ready to Move,,Unknown
Marathon Nexzone,7200000,626,2,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,10,10,Resale,Ready to Move,,Marathon Realty Pvt. Ltd.
Platinum Park Syde,17500000,,2,2,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Semi-Furnished,Apartment,0,20,8,Resale,Ready to Move,,Platinum Group
Kalpataru Riverside,7800000,,1,2,Panvel,Navi Mumbai,18.9894007,73.1175162,Furnished,Apartment,0,14,10,Resale,Ready to Move,,Kalpataru Ltd.
Aum Sai,15000000,688,,,Sector 7 Kharghar,Navi Mumbai,19.0350622873358,73.0658315651517,Furnished,Commercial Shop,0,0,2,Resale,Ready to Move,5 Open,Unknown
