project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Charms Global City,3100000.0,418,1,2,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Unfurnished,Apartment,0,25,1,Resale,Ready to Move,,Charms Group and RRC 
Karrm Residency,1150000.0,278,1,1,Shahapur,Beyond Thane,19.453550664726,73.3247044251021,Unfurnished,Apartment,0,16,2,Resale,Ready to Move,,Karrm Infrastructure Pvt. Ltd.
Labdhi Gardens Phase 6,2500000.0,358,1,2,Neral,Beyond Thane,19.0248210057881,73.3169473654086,Semi-Furnished,Apartment,0,23,0,Resale,Ready to Move,,Labdhi Lifestyles Ltd.
Thanekar Hillcrest,2500000.0,,1,2,Badlapur,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,12,8,Resale,Ready to Move,,Thanekar Group
Unkown,2000000.0,,,,Khardi,Beyond Thane,19.58376,73.39068,,Residential Plot,0,0,0,Resale,,,Unknown
Globe Business Square ,6100000.0,476,,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Commercial Office Space,0,0,8,Resale,Ready to Move,,Unknown
Lodha Palava,10888800.0,,3,3,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Furnished,Apartment,0,54,5,Resale,Ready to Move,,Lodha Developers Limited
Balaji Aangan,8400000.0,870,2,2,Thakurli,Beyond Thane,19.2252747701219,73.1000690723917,Furnished,Apartment,0,16,1,Resale,Ready to Move,,SS Life Spaces
Bella Vista,2600000.0,,,,Shahapur,Beyond Thane,19.453550664726,73.3247044251021,,Residential Plot,0,16,2,Resale,,,Oswal Group
Unkown,4000000.0,565,1,1,Dombivli West,Beyond Thane,19.2174682509913,73.0750339345098,Semi-Furnished,Apartment,0,0,2,Resale,Ready to Move,,Unknown
Unkown,2400000.0,,1,1,Bhiwandi,Beyond Thane,19.2937911767008,73.0653582109139,Unfurnished,Builder Floor Apartment,0,0,6,New Property,Ready to Move,,Unknown
Unkown,6500000.0,485,1,2,Bhiwandi,Beyond Thane,19.2937911767008,73.0653582109139,Semi-Furnished,Apartment,0,0,6,Resale,Ready to Move,,Unknown
Unkown,27500000.0,232,,,Dombivli West,Beyond Thane,19.2174682509913,73.0750339345098,Unfurnished,Commercial Shop,0,0,2,Resale,Ready to Move,,Unknown
Datta Nagari,3000000.0,630,1,1,Bhiwandi,Beyond Thane,19.2937911767008,73.0653582109139,Unfurnished,Apartment,0,30,6,Resale,Ready to Move,,Sai Pooja Developers
Runwal Gardens,11000000.0,908,3,3,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,15,5,Resale,Ready to Move,,Runwal Group
