project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Haware Citi,3000000,263,1,1,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Furnished,Apartment,0,32,4,Resale,Ready to Move,,Haware Group
Grand Square,7800000,547,2,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Furnished,Apartment,0,17,4,Resale,Ready to Move,,Squarefeet Group
Madhav Palacia,9000000,468,2,2,Hiranandani Estate,Thane,19.2577957544321,72.9839623718896,Semi-Furnished,Apartment,0,50,4,Resale,Ready to Move,,Unknown
Highland Park CHS,12500000,688,2,2,Dhokali,Thane,19.2258189984106,72.9837277968585,Semi-Furnished,Apartment,0,0,7,Resale,Ready to Move,,Unknown
JAGANI Flower Valley,22500000,1080,3,1,Khopat,Thane,19.2014277501771,72.972637756513,Semi-Furnished,Apartment,0,28,4,Resale,Ready to Move,,JAGANI DEVELOPERS
Hubtown Greenwood,9000000,526,2,2,Vartak Nagar,Thane,19.2123022683298,72.9624750800907,Unfurnished,Apartment,0,25,4,Resale,Ready to Move,,Hubtown Ltd.
Hubtown Greenwood,9800000,564,2,2,Vartak Nagar,Thane,19.2123022683298,72.9624750800907,Unfurnished,Apartment,0,25,4,Resale,Ready to Move,,Hubtown Ltd.
Dosti Vijeta,12400000,619,2,2,Vartak Nagar,Thane,19.2123022683298,72.9624750800907,Semi-Furnished,Apartment,0,0,4,Resale,Ready to Move,,Unknown
Brightland,6500000,385,1,1,Dhokali,Thane,19.2258189984106,72.9837277968585,Semi-Furnished,Apartment,0,0,7,Resale,Ready to Move,,Unknown
Happy Valley ,10000000,569,2,2,Manpada Thane West,Thane,19.2307690829993,72.973592548318,Semi-Furnished,Apartment,0,11,3,Resale,Ready to Move,,Unknown
Mukta Residency,4000000,468,1,1,Shilphata,Thane,19.1465685568349,73.0399463501033,Unfurnished,Apartment,0,9,0,Resale,Ready to Move,,Mukta Developers
Shubham Apartment,2500000,432,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,8,5,Resale,Ready to Move,,Bajrang Infrastructure
Unkown,1980000,,1,1,Katemanivali,Beyond Thane,19.2252311803232,73.1453759439391,Semi-Furnished,Apartment,0,0,0,Resale,,,Unknown
Shree Ganesh Park,2400000,475,1,2,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Semi-Furnished,Apartment,0,17,4,Resale,Ready to Move,,Nidhi Developers
Runwal Plaza,7100000,407,1,1,Vartak Nagar,Thane,19.2123022683298,72.9624750800907,Semi-Furnished,Apartment,0,0,4,Resale,Ready to Move,,Runwal Group
Lodha Casa Rio Gold,4000000,499,1,1,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,44,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Rio Gold,4500000,499,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,44,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Rio Gold,5200000,666,1,1,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,44,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Rio Gold,3400000,499,1,1,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,44,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Rio Gold,5000000,324,1,1,Dombivli,Beyond Thane,19.2094006,73.0939483,Furnished,Apartment,0,44,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,15000000,2304,4,3,Dombivli,Beyond Thane,19.2094006,73.0939483,Furnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha CasaRio Gold,5800000,642,2,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,14,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha CasaRio Gold,3870000,428,1,1,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,14,8,Resale,Ready to Move,,Lodha Developers Limited
Neel Siddhi Balaji Garden,10000000,864,3,3,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Furnished,Apartment,0,17,5,Resale,Ready to Move,,Neel Siddhi developers
Neel Siddhi Balaji Garden,11000000,673,3,3,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Furnished,Apartment,0,17,5,Resale,Ready to Move,,Neel Siddhi developers
Neel Siddhi Balaji Garden,10900000,900,3,3,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,17,8,Resale,Ready to Move,,Neel Siddhi developers
Madhav Shreeji Palacia,9000000,557,2,2,Waghbil,Thane,19.266575,72.983724,Unfurnished,Apartment,0,28,1,Resale,Ready to Move,,Madhav Shreeji Group
Madhav Shreeji Palacia,6700000,473,1,2,Waghbil,Thane,19.266575,72.983724,Semi-Furnished,Apartment,0,28,1,Resale,Ready to Move,,Madhav Shreeji Group
Madhav Shreeji Palacia,7500000,504,1,2,Waghbil,Thane,19.266575,72.983724,Furnished,Apartment,0,28,1,Resale,Ready to Move,,Madhav Shreeji Group
Madhav Shreeji Palacia,9000000,557,2,2,Waghbil,Thane,19.266575,72.983724,Unfurnished,Apartment,0,28,1,Resale,Ready to Move,,Madhav Shreeji Group
Vrindavan Shrushti,3700000,540,1,1,Kalyan West,Beyond Thane,19.2442606681675,73.123906730695,Semi-Furnished,Apartment,0,17,5,Resale,Ready to Move,,M. S. Developers
Lodha Casa Rio,7500000,791,3,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Semi-Furnished,Apartment,0,33,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Rio Gold,5500000,356,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,26,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Rio Gold,5400000,642,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Furnished,Apartment,0,26,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava Casa Bella,3800000,567,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,56,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava Casa Bella,7600000,791,3,3,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Semi-Furnished,Apartment,0,56,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava Casa Bella,4500000,494,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Furnished,Apartment,0,56,5,Resale,Ready to Move,,Lodha Developers Limited
Runwal Garden City,6800000,310,1,2,Balkum Naka,Thane,19.2207044893566,72.9884938975506,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,The Runwal Group
