project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,developers,project_name_encoded,locality_encoded,city_encoded,developers_encoded
Om Apartment,2500000.0,540.0,1.0,1.0,Diva,Thane,19.1915751433493,73.0430090272966,0.0,1.0,0.0,0.0,5.0,0.0,1.0,Unknown,2500000.0,3711842.8571428573,11830959.195290858,14922676.984989278
Oswal Park,7200000.0,432.0,1.0,1.0,Majiwada,Thane,19.215865938964,72.9914374146644,0.0,1.0,0.0,28.0,6.0,0.0,1.0,Vijay Group,8066666.666666667,12413734.446601942,11830959.195290858,7703333.333333333
Swastik Palms,7500000.0,468.0,1.0,2.0,Kolshet,Thane,19.2392002271759,72.997235034948,0.5,1.0,0.0,8.0,0.0,0.0,1.0,Cooperative Group Housing Society,7500000.0,14288200.0,11830959.195290858,14124232.135714285
Highland Park,14000000.0,570.0,2.0,3.0,Kolshet Road,Thane,19.2321621,72.9873688,0.0,1.0,0.0,48.0,1.0,0.0,1.0,Siddhi Group,10050000.0,12836061.855670104,11830959.195290858,9011765.352941176
Ozone Valley,10000000.0,724.0,2.0,2.0,Kalwa,Thane,19.1986281463791,73.00243846035,0.0,1.0,0.0,23.0,7.0,0.0,1.0,NatuParanjape Developers,12250000.0,9903409.090909092,11830959.195290858,12250000.0
Cosmos Lounge,13500000.0,835.0,2.0,2.0,Manpada Thane West,Thane,19.2307690829993,72.973592548318,0.5,1.0,0.0,14.0,3.0,0.0,1.0,Cosmos Group,9683333.333333334,11877458.333333334,11830959.195290858,10892857.142857144
Vasant Fiona,8500000.0,429.0,1.0,2.0,Majiwada,Thane,19.215865938964,72.9914374146644,0.5,1.0,0.0,13.0,6.0,0.0,1.0,Sheth Creators Pvt. Ltd.,8500000.0,12413734.446601942,11830959.195290858,17877777.777777776
Sai Tirth,17100000.0,900.0,2.0,2.0,Thane East,Thane,19.1811808756343,72.9763405196886,1.0,1.0,0.0,17.0,6.0,0.0,1.0,Kataria Builteck Pvt. Ltd.,18150000.0,12183333.333333334,11830959.195290858,18150000.0
RNA NG Regency,4500000.0,439.0,1.0,1.0,Balkum Pada,Thane,19.218154,72.993664,1.0,1.0,0.0,14.0,3.0,0.0,1.0,RNA NG Builders,5844444.444444444,11619798.28,11830959.195290858,9710526.315789474
RNA NG Regency,4500000.0,338.0,1.0,2.0,Balkum Pada,Thane,19.218154,72.993664,0.5,1.0,0.0,14.0,3.0,0.0,1.0,RNA NG Builders,5844444.444444444,11619798.28,11830959.195290858,9710526.315789474
Delanna,16000000.0,626.0,2.0,2.0,Hiranandani Estate,Thane,19.2577957544321,72.9839623718896,0.5,1.0,0.0,9.0,4.0,0.0,1.0,Hiranandani Group,17500000.0,20068965.51724138,11830959.195290858,24471228.07017544
Ozone Valley,12500000.0,763.0,3.0,3.0,Parsik Nagar,Thane,19.2085374829654,73.0123808710682,0.0,1.0,0.0,23.0,2.0,0.0,1.0,NatuParanjape Developers,12250000.0,12233333.333333334,11830959.195290858,12250000.0
Deepraj Apartment,3500000.0,306.0,1.0,1.0,Kalwa,Thane,19.1986281463791,73.00243846035,0.0,1.0,0.0,0.0,7.0,0.0,1.0,Unknown,3500000.0,9903409.090909092,11830959.195290858,14922676.984989278
Saya Park,4000000.0,396.0,1.0,1.0,Kalwa,Thane,19.1986281463791,73.00243846035,0.5,1.0,0.0,0.0,7.0,0.0,1.0,Unknown,4000000.0,9903409.090909092,11830959.195290858,14922676.984989278
VIGHNESHWAR APARTMENT,3800000.0,403.0,1.0,1.0,Kharegaon,Thane,19.2000964243507,72.9992204728793,0.0,1.0,0.0,0.0,2.0,0.0,1.0,Unknown,3800000.0,10983333.333333334,11830959.195290858,14922676.984989278
Lodha Bellavista Wing B2,16500000.0,760.0,2.0,2.0,Pokhran Road,Thane,19.2070940767958,72.9568656970685,0.0,1.0,0.0,3.0,3.0,1.0,0.5,Lodha Developers Limited,16500000.0,14035373.57142857,11830959.195290858,13938004.985772358
Pushpanjali Residency Phase III,5500000.0,450.0,1.0,2.0,Owale,Thane,19.2721014587378,72.958646491161,0.0,1.0,0.0,18.0,10.0,1.0,0.5,Shriraam Pioneer Developers Private Limited,5550000.0,7541894.736842105,11830959.195290858,5550000.0
Tata Serein,27000000.0,1140.0,3.0,3.0,Pokharan Road Number 2,Thane,19.218973,72.968099,0.0,1.0,0.0,42.0,2.0,0.0,0.5,TATA Housing Development Company Ltd.,21999100.0,18147477.3,11830959.195290858,10271142.857142856
Hiranandani Barca,21000000.0,702.0,2.0,2.0,Hiranandani Estate,Thane,19.2577957544321,72.9839623718896,1.0,1.0,0.0,0.0,4.0,0.0,1.0,Hiranandani Group,21000000.0,20068965.51724138,11830959.195290858,24471228.07017544
Dosti West County,17930000.0,1033.0,3.0,3.0,Balkum Pada,Thane,19.218154,72.993664,0.0,1.0,0.0,9.0,3.0,1.0,0.5,Dosti Realty ,12961428.57142857,11619798.28,11830959.195290858,12503205.88235294
Rustomjee Urbania,13447000.0,720.0,2.0,2.0,Majiwada,Thane,19.215865938964,72.9914374146644,0.0,1.0,0.0,21.0,6.0,1.0,0.5,Rustomjee,18789400.0,12413734.446601942,11830959.195290858,30652286.95652174
Sheth Vasant Lawns,22900000.0,1068.0,3.0,3.0,Majiwada,Thane,19.215865938964,72.9914374146644,0.0,1.0,0.0,9.0,6.0,1.0,1.0,Ashwin Sheth Group,20733333.333333332,12413734.446601942,11830959.195290858,40422666.666666664
Rustomjee Atelier,9800000.0,600.0,2.0,2.0,Majiwada,Thane,19.215865938964,72.9914374146644,0.0,1.0,0.0,0.0,6.0,0.0,1.0,Rustomjee,9800000.0,12413734.446601942,11830959.195290858,30652286.95652174
Bhoomi Acres,10000000.0,600.0,2.0,2.0,Thane West,Thane,19.2083097363891,72.9724465271482,0.5,1.0,0.0,25.0,10.0,0.0,1.0,BHOOMI GROUP,8100000.0,12587073.863636363,11830959.195290858,8122727.2727272725
Kalpataru Parkcity,12000000.0,600.0,2.0,2.0,Kolshet Road,Thane,19.2321621,72.9873688,0.0,1.0,0.0,20.0,1.0,0.0,1.0,Kalpataru Ltd.,16499090.909090908,12836061.855670104,11830959.195290858,27877484.848484848
Lodha Splendora,9500000.0,770.0,2.0,2.0,Bhayandarpada,Thane,19.288128,72.949629,0.0,1.0,0.0,48.0,0.0,0.0,1.0,Lodha Developers Limited,11116304.347826088,11877777.777777778,11830959.195290858,13938004.985772358
